"een meer","a lake"
"gluren","peek"
"spelen","play"
"mogelijk","possible"
"snel","quick"
"liever","rather"
"klaar","ready"
"echt","really"
"rechts","right"
"zeggen","say"
"zeven","seven"
"ze kan","she can"
"ze gaat","she goes"
"ze heeft","she has"
"ze is","she is"
"ze weet","she knows"
"ze kan","she may"
"ze rent","she runs"
"ze schrijft","she writes"
"zes","six"
"slapen","sleep"
"langzaam","slow"
"roken","smoke"
"snel","soon"
"sorry","sorry"
"blijven","stay"
"ophouden","stop"
"stop","stop"
"metro station","subway station"
"suiker","sugar"
"Zwitserland","Switzerland"
"tien","ten"
"bedankt","thanks"
"dat","that"
"het ongeluk","the accident"
"de acteur","the actor"
"het antwoord","the answer"
"de fiets","the bicycle"
"de jongen","the boy"
"de bus","the bus"
"het café","the café"
"het kind","the child"
"de kinderen","the children"
"het centrum","the city center"
"de klok","the clock"
"het concert","the concert"
"de honden","the dogs"
"de fabriek","the factory"
"het bos","the forest"
"het meisje","the girl"
"de meisjes","the girls"
"de gast","the guest"
"de hal","the hall"
"de huisvrouw","the housewife"
"het interview","the interview"
"de opgaven","the jobs"
"de grens","the limit"
"de man","the man"
"de plattegrond","the map"
"de mannen","the men"
"het menu","the menu"
"de weg","the motorway"
"de berg","the mountain"
"het nummer","the number"
"de zuster","the nurse"
"de foto","the photo"
"het plaatje","the picture"
"de vragen","the questions"
"het trein station","the railway station"
"het restaurant","the restaurant"
"de school","the school"
"de zus","the sister"
"de leraar","the teacher"
"het kaartje","the ticket"
"de tijd","the time"
"de trein","the train"
"de bezoeker","the visitor"
"de vrouw","the woman"
"de vrouwen","the women"
"het werk","the work"
"het jaar","the year"
"de dierentuin","the zoo"
"dan","then"
"daar","there"
"er is","there is"
"zij zijn","they are"
"zij vragen","they ask"
"zij kunnen","they can"
"zij hebben","they have"
"zij weten","they know"
"zij kunnen","they may"
"zij moeten","they must"
"zij zeggen","they say"
"zij willen","they want to"
"drie","three"
"tijd","time"
"vandaag","today"
"morgen","tomorrow"
"ook","too"
"verkeer","traffic"
"oom","uncle"
"helaas","unfortunately"
"op","up"
"vakantie","vacation"
"wachten","wait"
"muur","wall"
"televisie kijken","watch television"
"water","water"
"we zijn","we are"
"we kunnen","we can"
"we komen","we come"
"we hebben","we have"
"we weten","we know"
"we kunnen","we may"
"we moeten","we must"
"we begrijpen","we understand"
"we willen","we want to"
"erg","very"
"wat","what"
"wanneer","when"
"waar","where"
"waar","where"
"waar is","where is"
"wie","who"
"waarom","why"
"waarom","why"
"wijn","wine"
"op visite gaan","visit"
"met","with"
"met haar","with her"
"met hem","with him"
"met mij","with me"
"met jou","with you"
"zonder","without"
"werken","work"
"schrijven","write"
"fout","wrong"
"jaar","year"
"ja","yes"
"julllie zijn","you are (pl)"
"jullie kunnen","you can (pl)"
"jij kan","you can"
"jij komt","you come"
"jullie komen","you come (pl)"
"jij rijdt","you drive"
"jullie geven","you give (pl)"
"jullie hebben","you have (pl)"
"jij hebt","you have"
"je moet","you have to"
"je weet","you know"
"jullie weten","you know (pl)"
"je mag","you may"
"jullie mogen","you may (pl)"
"je kan","you may"
"je moet","you must"
"je rent","you run"
"je ziet","you see"
"je slaapt","you sleep"
"je staat","you stand"
"je neemt","you take"
"je praat","you talk"
"je wacht","you wait"
"jullie wachten","you wait (pl)"
"u loopt","you walk ( polite)"
"je wil","you want to"
"jullie willen","you want to ( plural)"
"u wilt","you want to (polite)"
"je wil","you will"
"je schrijft","you write"
"jong","young"
"je voornaam","your first name"
